 AI Road Intelligence for Indian Autonomous Driving — Traffic Dataset,,,,,,,,,,,,,,,,
Object Class,Road Condition,Time of Day,Weather,City Zone,Distance (m),Confidence,Speed (km/h),BBox X (px),BBox Y (px),BBox W (px),BBox H (px),Lane Discipline,Pothole Severity,Visibility (m),Danger Score,Hazardous?
pedestrian,construction,evening_rush,foggy,delhi_inner,7.84,0.745,1.40,285.5,416.9,53.7,65.9,0.667,8.13,17.80,63.84,YES
cow,flooded,morning_rush,foggy,mumbai_suburban,1.33,0.677,3.20,359.5,225.2,137.5,112.0,0.026,7.93,20.30,85.19,YES
truck,damaged_edge,evening_rush,clear,rural_highway,18.97,0.672,9.70,860.8,312.8,236.7,271.7,0.090,6.33,78.90,38.01,NO
autorickshaw,damaged_edge,evening_rush,clear,bangalore_tech,12.74,0.811,11.40,90.9,298.7,135.5,176.7,0.448,4.88,88.10,24.25,NO
motorcycle,damaged_edge,night,clear,mumbai_suburban,8.44,0.756,50.40,384.6,314.6,99.8,102.6,0.468,3.59,74.80,31.61,NO
car,pothole_light,night,rainy,rural_highway,12.59,0.764,30.80,500.7,285.6,163.2,135.0,0.235,3.28,26.90,36.81,NO
bicycle,construction,night,rainy,bangalore_tech,14.71,0.563,20.50,228.6,349.1,58.2,71.5,0.573,4.89,26.40,41.86,YES
bicycle,damaged_edge,evening_rush,foggy,mumbai_suburban,11.14,0.731,11.20,214.7,342.1,86.7,117.7,0.341,3.89,21.60,39.11,NO
pedestrian,smooth,night,dusty,mumbai_suburban,6.53,0.784,8.10,526.4,344.9,41.1,50.6,0.689,0.51,35.30,39.35,NO
motorcycle,pothole_heavy,evening_rush,rainy,mumbai_suburban,10.11,0.854,21.10,922.6,644.8,57.2,65.6,0.414,7.94,31.00,49.74,YES
motorcycle,pothole_light,morning_rush,clear,mumbai_suburban,18.29,0.802,19.90,1001.6,608.0,88.0,82.5,0.054,3.73,75.60,32.08,NO
pedestrian,smooth,morning_rush,clear,kolkata_old,13.22,0.816,0.00,1212.5,479.3,41.8,33.8,0.219,0.00,87.40,28.18,NO
bicycle,flooded,afternoon,foggy,mumbai_suburban,14.31,0.758,23.60,87.5,594.5,96.8,117.8,0.423,3.87,17.70,40.51,NO
dog,smooth,evening_rush,clear,kolkata_old,6.30,0.473,5.30,261.2,646.2,74.4,69.9,0.094,0.22,85.90,45.22,YES
pedestrian,pothole_light,evening_rush,clear,delhi_inner,9.33,0.759,2.80,928.8,360.6,52.4,68.9,0.164,4.45,95.70,36.72,NO
pedestrian,construction,night,rainy,delhi_inner,1.00,0.707,2.40,667.9,410.1,44.5,48.0,0.239,5.81,25.60,67.53,YES
car,pothole_heavy,morning_rush,hazy,bangalore_tech,12.24,0.946,22.30,352.6,480.0,203.9,228.0,0.500,7.36,46.70,37.67,NO
car,pothole_light,morning_rush,dusty,rural_highway,11.90,0.911,26.60,225.0,375.2,185.4,232.2,0.362,5.85,34.30,42.43,YES
bicycle,pothole_heavy,dawn,rainy,mumbai_suburban,3.35,0.683,14.40,341.1,293.5,63.9,81.0,0.421,9.39,40.20,60.69,YES
truck,damaged_edge,morning_rush,clear,kolkata_old,14.97,0.797,20.30,460.2,388.4,208.1,246.7,0.428,3.22,78.60,24.18,NO
car,construction,evening_rush,dusty,mumbai_suburban,6.73,0.845,20.00,195.1,256.8,178.9,243.8,0.485,6.90,36.20,44.89,YES
car,pothole_light,evening_rush,clear,delhi_inner,15.34,0.973,14.30,1074.8,298.5,165.3,229.7,0.292,5.75,81.10,34.27,NO
pedestrian,flooded,evening_rush,clear,delhi_inner,11.88,0.762,0.30,130.7,298.0,65.4,89.5,0.371,5.74,79.50,42.61,YES
car,pothole_light,morning_rush,hazy,mumbai_suburban,18.49,0.886,28.40,1110.9,278.9,152.9,197.9,0.343,3.68,48.80,32.55,NO
car,construction,morning_rush,clear,delhi_inner,17.58,0.835,17.00,927.8,201.4,177.9,217.6,0.491,8.31,80.50,36.79,NO
truck,damaged_edge,morning_rush,hazy,delhi_inner,15.77,0.901,14.20,444.7,416.2,229.2,274.5,0.239,6.18,47.40,43.75,YES
pedestrian,flooded,evening_rush,clear,hyderabad_highway,1.00,0.768,1.00,906.2,339.8,55.1,47.5,0.172,7.12,81.10,64.97,YES
pedestrian,pothole_heavy,evening_rush,hazy,delhi_inner,1.00,0.794,0.00,833.2,241.7,39.2,37.8,0.058,7.69,42.00,69.00,YES
motorcycle,construction,morning_rush,hazy,kolkata_old,5.92,0.719,28.80,253.8,239.0,89.9,72.2,0.227,7.80,43.70,51.55,YES
pedestrian,damaged_edge,evening_rush,foggy,mumbai_suburban,4.65,0.632,1.40,421.6,471.1,36.7,32.4,0.172,6.79,22.80,60.55,YES
motorcycle,pothole_light,night,foggy,bangalore_tech,9.78,0.582,38.60,615.9,632.2,79.7,84.7,0.191,3.94,22.80,49.21,YES
motorcycle,flooded,morning_rush,clear,kolkata_old,7.24,0.740,20.90,759.2,263.9,89.8,79.7,0.229,5.52,86.20,41.99,YES
pedestrian,pothole_light,evening_rush,hazy,mumbai_suburban,9.32,0.926,0.00,664.0,244.2,56.9,76.4,0.064,5.48,54.30,42.77,YES
pedestrian,flooded,evening_rush,hazy,mumbai_suburban,7.57,0.676,2.60,586.6,405.5,39.9,51.2,0.119,8.45,42.40,61.39,YES
cow,pothole_heavy,afternoon,clear,hyderabad_highway,10.34,0.602,1.90,497.2,417.9,158.0,133.2,0.606,10.00,80.70,63.91,YES
pedestrian,damaged_edge,afternoon,foggy,rural_highway,11.39,0.722,2.30,612.2,338.7,51.3,48.7,0.214,4.55,19.00,55.63,YES
truck,smooth,evening_rush,rainy,delhi_inner,15.45,0.788,17.50,455.6,267.0,231.1,298.5,0.281,0.00,24.50,27.14,NO
car,pothole_heavy,night,clear,delhi_inner,17.12,0.755,30.70,583.0,310.3,202.9,260.1,0.479,6.77,82.80,30.29,NO
motorcycle,pothole_heavy,night,hazy,rural_highway,10.29,0.644,41.70,1050.7,321.8,96.8,132.3,0.177,8.14,48.90,53.62,YES
motorcycle,pothole_heavy,evening_rush,clear,mumbai_suburban,7.87,0.761,22.50,748.8,552.1,96.8,135.4,0.087,6.71,74.60,45.17,YES
motorcycle,smooth,night,rainy,kolkata_old,12.73,0.566,41.00,865.1,217.0,82.9,114.9,0.161,0.00,28.10,42.17,YES
bus,pothole_light,afternoon,clear,mumbai_suburban,27.98,0.987,24.70,608.3,257.7,261.9,274.0,0.536,4.84,77.60,28.86,NO
motorcycle,smooth,evening_rush,dusty,delhi_inner,6.45,0.825,20.00,769.6,556.5,83.2,79.1,0.446,0.47,27.50,25.10,NO
bicycle,pothole_light,evening_rush,foggy,kolkata_old,9.40,0.770,9.50,710.3,579.4,51.9,65.1,0.158,1.83,19.80,37.39,NO
pedestrian,pothole_light,morning_rush,hazy,bangalore_tech,10.26,0.830,0.50,32.9,252.0,54.5,53.4,0.340,5.88,39.30,54.23,YES
pedestrian,damaged_edge,night,rainy,mumbai_suburban,7.83,0.725,11.60,1225.7,639.0,53.8,69.1,0.411,3.70,30.80,47.65,YES
autorickshaw,pothole_heavy,evening_rush,dusty,bangalore_tech,13.99,0.612,10.20,38.7,460.5,128.8,144.3,0.225,6.85,36.30,53.12,YES
truck,construction,afternoon,rainy,hyderabad_highway,21.52,0.765,36.30,419.6,265.9,218.1,278.3,0.128,5.51,32.00,47.01,YES
autorickshaw,flooded,dawn,clear,kolkata_old,19.61,0.858,20.40,123.1,389.3,108.6,104.8,0.168,5.21,82.20,35.50,NO
car,damaged_edge,morning_rush,hazy,delhi_inner,8.55,0.846,15.80,105.7,292.2,189.8,209.7,0.239,3.92,52.70,37.48,NO
pedestrian,smooth,afternoon,foggy,kolkata_old,6.82,0.816,0.00,991.7,272.8,30.3,34.5,0.334,0.00,16.00,41.84,YES
motorcycle,flooded,morning_rush,rainy,hyderabad_highway,6.95,0.814,21.40,501.8,310.9,101.9,139.2,0.205,3.04,26.20,37.42,NO
car,pothole_heavy,night,rainy,hyderabad_highway,18.01,0.621,33.60,884.0,403.3,176.5,169.5,0.836,8.16,33.30,44.74,YES
pedestrian,pothole_heavy,night,dusty,kolkata_old,1.00,0.626,4.50,334.5,569.1,53.7,73.1,0.580,8.28,34.30,75.30,YES
car,pothole_heavy,afternoon,dusty,delhi_inner,17.66,0.819,39.20,280.0,301.2,188.4,241.7,0.257,10.00,40.60,53.32,YES
bicycle,damaged_edge,evening_rush,dusty,hyderabad_highway,8.66,0.712,9.10,301.8,346.9,78.9,97.7,0.126,5.58,37.80,45.86,YES
bus,pothole_heavy,afternoon,clear,kolkata_old,22.01,0.796,34.80,647.7,307.1,228.9,291.1,0.108,7.40,89.60,41.97,YES
bicycle,smooth,night,hazy,delhi_inner,5.32,0.651,9.70,976.1,473.4,82.4,95.8,0.578,0.00,44.50,31.15,NO
motorcycle,construction,evening_rush,rainy,bangalore_tech,7.40,0.702,26.30,540.7,530.7,84.5,80.0,0.145,6.88,22.60,50.52,YES
car,flooded,evening_rush,foggy,mumbai_suburban,19.67,0.822,12.90,420.8,319.0,170.5,155.8,0.070,6.54,21.70,48.96,YES
bicycle,smooth,dawn,rainy,kolkata_old,12.28,0.754,17.50,1189.0,459.4,58.8,77.5,0.409,0.00,29.60,25.87,NO
autorickshaw,pothole_heavy,afternoon,clear,mumbai_suburban,13.94,0.680,35.80,136.0,347.2,115.0,142.0,0.106,8.07,82.70,45.97,YES
bus,flooded,morning_rush,foggy,kolkata_old,32.18,0.914,10.60,510.7,419.3,230.5,213.9,0.151,8.28,23.30,44.48,YES
bus,smooth,evening_rush,rainy,rural_highway,26.89,0.835,14.10,410.2,232.5,275.8,322.5,0.394,0.00,27.30,20.59,NO
dog,pothole_heavy,dawn,clear,hyderabad_highway,3.99,0.645,11.30,116.5,308.3,92.3,98.6,0.222,5.74,75.00,57.76,YES
motorcycle,pothole_heavy,afternoon,hazy,rural_highway,12.16,0.774,34.60,320.0,388.5,86.8,77.7,0.023,9.05,44.30,57.21,YES
motorcycle,construction,morning_rush,clear,rural_highway,7.90,0.857,22.20,34.2,586.2,76.6,85.8,0.144,7.38,68.10,43.52,YES
dog,damaged_edge,afternoon,clear,delhi_inner,4.41,0.668,2.80,1063.7,460.9,67.0,65.0,0.301,2.95,80.40,48.96,YES
motorcycle,flooded,evening_rush,clear,kolkata_old,3.35,0.814,16.20,722.5,626.3,91.4,78.4,0.190,6.51,78.00,43.24,YES
car,flooded,morning_rush,hazy,bangalore_tech,18.83,1.000,15.70,875.0,230.7,206.4,222.9,0.220,4.80,49.30,37.69,NO
truck,smooth,evening_rush,hazy,rural_highway,17.31,0.853,14.90,557.3,327.0,211.4,244.0,0.138,0.53,35.10,32.24,NO
bicycle,smooth,dawn,rainy,mumbai_suburban,12.59,0.755,21.90,735.5,399.4,53.2,44.1,0.215,2.29,30.00,33.54,NO
pedestrian,pothole_light,evening_rush,rainy,rural_highway,5.35,0.745,1.90,845.8,466.4,73.2,76.2,0.414,3.79,37.90,52.12,YES
truck,pothole_light,afternoon,foggy,kolkata_old,20.74,0.822,26.40,986.8,472.5,193.2,184.4,0.283,5.30,23.40,44.87,YES
car,pothole_light,evening_rush,clear,hyderabad_highway,11.80,0.780,19.90,102.3,524.0,164.9,134.9,0.183,2.53,84.90,33.03,NO
truck,damaged_edge,morning_rush,clear,delhi_inner,19.45,0.872,8.30,352.0,421.6,216.3,189.3,0.185,3.18,81.70,22.97,NO
e-rickshaw,damaged_edge,night,dusty,delhi_inner,13.36,0.583,15.10,846.2,484.5,86.6,76.5,0.117,7.42,26.70,55.84,YES
car,flooded,evening_rush,clear,hyderabad_highway,17.13,0.829,23.70,1038.2,523.7,196.7,178.9,0.150,6.37,80.80,33.41,NO
autorickshaw,pothole_light,afternoon,dusty,delhi_inner,12.20,0.885,24.10,1125.1,334.2,132.9,170.3,0.310,4.76,37.00,35.44,NO
dog,damaged_edge,evening_rush,foggy,hyderabad_highway,1.00,0.492,1.20,777.6,578.7,61.4,65.3,0.396,6.38,14.60,83.59,YES
pedestrian,damaged_edge,evening_rush,hazy,delhi_inner,17.14,0.740,2.50,234.4,622.5,69.2,61.5,0.173,4.37,44.40,49.97,YES
pedestrian,smooth,evening_rush,dusty,kolkata_old,12.62,0.778,5.50,144.0,425.3,71.7,61.7,0.393,0.99,20.50,43.20,YES
pedestrian,damaged_edge,morning_rush,clear,mumbai_suburban,9.33,0.722,6.70,1165.2,544.7,48.3,47.3,0.247,5.81,78.30,49.31,YES
motorcycle,pothole_heavy,night,clear,kolkata_old,8.24,0.823,37.30,523.6,360.7,73.2,93.7,0.017,6.45,77.80,39.69,NO
motorcycle,smooth,dawn,rainy,kolkata_old,10.99,0.731,37.40,227.2,264.2,113.9,116.0,0.086,1.82,37.00,34.33,NO
cow,pothole_heavy,evening_rush,hazy,mumbai_suburban,6.88,0.682,0.30,1054.5,425.7,150.8,135.1,0.305,9.57,42.00,69.52,YES
cow,pothole_light,dawn,dusty,delhi_inner,13.46,0.731,8.20,118.8,272.7,143.8,150.0,0.338,2.46,33.70,47.61,YES
dog,smooth,morning_rush,clear,delhi_inner,5.86,0.570,3.70,867.9,391.0,90.5,102.5,0.406,0.24,79.60,38.54,NO
bicycle,damaged_edge,evening_rush,hazy,kolkata_old,8.41,0.782,18.30,753.7,600.7,74.5,60.9,0.191,4.72,42.00,41.99,YES
autorickshaw,construction,evening_rush,rainy,bangalore_tech,9.29,0.669,16.70,102.4,233.4,112.4,132.3,0.588,8.70,33.60,55.17,YES
autorickshaw,damaged_edge,evening_rush,rainy,hyderabad_highway,16.26,0.832,21.60,392.5,212.0,121.2,125.7,0.131,3.31,20.00,41.52,YES
pedestrian,damaged_edge,evening_rush,clear,bangalore_tech,14.90,0.856,0.00,182.1,483.3,65.6,52.8,0.342,9.32,85.70,56.84,YES
pedestrian,smooth,afternoon,hazy,bangalore_tech,12.44,0.788,0.00,761.6,364.1,20.1,24.2,0.353,0.00,44.90,31.03,NO
pedestrian,damaged_edge,morning_rush,foggy,bangalore_tech,11.44,0.718,1.60,588.9,393.9,45.7,56.1,0.416,5.89,26.50,55.55,YES
pedestrian,pothole_heavy,afternoon,clear,delhi_inner,5.69,0.793,10.80,5.2,377.2,70.7,83.3,0.092,9.66,66.30,60.79,YES
bicycle,pothole_light,morning_rush,foggy,mumbai_suburban,1.00,0.657,7.30,1188.1,239.6,62.3,62.6,0.673,3.76,7.80,58.69,YES
motorcycle,pothole_light,night,rainy,rural_highway,9.87,0.806,36.30,411.4,201.4,103.2,115.3,0.307,3.86,28.50,37.94,NO
motorcycle,smooth,morning_rush,foggy,rural_highway,9.55,0.681,32.00,304.4,573.3,101.2,104.5,0.130,0.00,22.50,36.88,NO
car,pothole_heavy,morning_rush,rainy,mumbai_suburban,14.51,0.809,23.10,244.9,265.7,179.0,218.5,0.334,6.94,27.20,52.13,YES
truck,pothole_heavy,evening_rush,clear,kolkata_old,19.81,0.849,16.80,169.7,317.9,211.5,243.2,0.406,8.33,82.90,40.04,NO
car,pothole_light,evening_rush,rainy,hyderabad_highway,10.11,0.831,14.90,1103.4,560.4,175.7,149.2,0.251,3.84,34.90,38.98,NO
autorickshaw,construction,night,dusty,bangalore_tech,13.35,0.640,30.00,330.5,473.1,160.0,189.7,0.085,6.39,38.30,50.05,YES
truck,pothole_light,evening_rush,hazy,delhi_inner,22.68,0.843,10.60,418.4,223.7,248.1,300.8,0.408,3.46,45.50,30.64,NO
motorcycle,smooth,afternoon,dusty,delhi_inner,13.64,0.872,46.50,1044.0,421.9,81.9,83.7,0.175,0.69,35.50,26.52,NO
truck,pothole_heavy,night,hazy,bangalore_tech,23.01,0.752,34.20,686.3,375.6,210.9,279.5,0.296,7.04,41.90,45.56,YES
car,damaged_edge,evening_rush,clear,rural_highway,16.19,0.905,14.30,404.9,397.4,181.8,237.3,0.046,4.70,79.70,36.83,NO
car,pothole_light,morning_rush,hazy,kolkata_old,12.88,0.698,22.00,984.9,469.2,183.7,166.2,0.653,5.08,39.90,35.81,NO
cow,pothole_heavy,evening_rush,dusty,delhi_inner,9.81,0.668,0.00,868.7,363.3,121.3,162.9,0.120,8.30,31.10,72.51,YES
motorcycle,smooth,dawn,clear,delhi_inner,10.53,0.721,32.80,273.2,276.3,81.2,86.4,0.183,0.00,82.60,21.97,NO
car,pothole_heavy,afternoon,dusty,hyderabad_highway,15.24,0.919,32.00,695.3,327.1,199.8,246.6,0.304,7.97,32.70,46.95,YES
autorickshaw,pothole_heavy,afternoon,dusty,hyderabad_highway,14.44,0.868,17.40,1094.9,459.3,93.0,119.8,0.350,8.52,31.30,51.63,YES
pedestrian,pothole_heavy,morning_rush,hazy,kolkata_old,10.10,0.744,10.90,604.5,474.6,62.4,68.8,0.442,9.19,47.20,56.99,YES
motorcycle,pothole_heavy,morning_rush,clear,kolkata_old,16.61,0.804,24.20,865.2,229.3,100.6,104.6,0.208,7.09,81.90,42.41,YES
pedestrian,pothole_heavy,evening_rush,rainy,delhi_inner,17.05,0.674,6.80,1202.6,230.1,41.6,56.1,0.668,7.33,28.90,61.10,YES
car,pothole_light,evening_rush,clear,hyderabad_highway,16.43,0.954,22.90,741.9,515.8,205.4,192.8,0.210,3.17,79.30,23.89,NO
car,flooded,morning_rush,foggy,hyderabad_highway,1.00,0.846,19.90,113.7,254.4,169.6,161.9,0.383,5.23,22.10,52.88,YES
autorickshaw,smooth,dawn,hazy,mumbai_suburban,16.38,0.884,34.50,282.1,315.2,126.6,128.8,0.187,0.49,49.80,26.05,NO
truck,smooth,night,hazy,hyderabad_highway,17.28,0.762,32.60,633.5,381.6,215.4,283.4,0.537,0.71,46.00,20.53,NO
pedestrian,pothole_light,evening_rush,foggy,mumbai_suburban,4.93,0.756,3.70,340.2,387.7,45.4,61.9,0.181,5.26,14.00,58.09,YES
pedestrian,construction,night,hazy,delhi_inner,7.74,0.719,0.00,1186.6,287.5,40.7,38.0,0.220,6.89,43.90,58.58,YES
bus,pothole_light,morning_rush,hazy,mumbai_suburban,23.52,0.919,11.90,413.3,282.5,260.5,343.4,0.457,2.31,43.00,31.17,NO
autorickshaw,pothole_heavy,evening_rush,hazy,delhi_inner,13.65,0.676,14.70,524.6,423.7,132.7,126.7,0.514,8.80,39.70,53.78,YES
motorcycle,damaged_edge,evening_rush,hazy,mumbai_suburban,3.67,0.825,18.10,842.6,386.0,79.0,109.3,0.058,5.19,47.50,43.48,YES
pedestrian,pothole_heavy,night,hazy,bangalore_tech,5.13,0.738,0.00,655.5,646.3,29.6,34.3,0.265,8.07,47.90,57.07,YES
motorcycle,pothole_light,night,foggy,bangalore_tech,11.57,0.703,42.20,456.3,328.3,86.0,69.2,0.132,2.46,23.60,39.79,NO
autorickshaw,smooth,afternoon,hazy,bangalore_tech,14.08,0.769,17.70,88.4,475.3,126.3,103.7,0.471,0.00,40.00,24.65,NO
car,flooded,dawn,hazy,mumbai_suburban,16.40,0.818,35.10,658.0,240.8,176.7,157.0,0.514,4.57,45.80,34.56,NO
car,smooth,morning_rush,rainy,delhi_inner,11.75,0.812,16.40,930.0,329.5,208.0,189.8,0.149,0.58,30.00,35.78,NO
bus,damaged_edge,night,clear,kolkata_old,22.96,0.682,36.00,722.4,373.7,226.5,285.6,0.063,4.48,81.50,33.73,NO
cow,construction,dawn,clear,bangalore_tech,7.29,0.534,0.10,447.6,294.5,106.7,99.7,0.086,6.38,80.60,53.22,YES
pedestrian,pothole_heavy,morning_rush,dusty,mumbai_suburban,8.54,0.844,0.00,158.5,474.9,39.0,53.9,0.490,6.16,34.90,51.63,YES
motorcycle,pothole_light,night,rainy,rural_highway,15.26,0.637,33.10,970.9,263.4,90.7,107.1,0.623,5.23,29.30,44.07,YES
car,pothole_light,morning_rush,rainy,hyderabad_highway,8.67,0.812,14.40,1050.8,232.9,164.2,199.5,0.189,3.69,35.50,40.09,NO
car,pothole_light,evening_rush,rainy,rural_highway,13.75,0.876,24.10,432.8,391.6,165.3,153.8,0.172,4.10,25.70,39.43,NO
motorcycle,pothole_light,evening_rush,clear,bangalore_tech,4.37,0.780,24.90,864.0,466.0,94.3,125.9,0.274,3.12,79.10,29.74,NO
truck,construction,evening_rush,rainy,delhi_inner,14.47,0.696,23.10,432.6,228.1,226.9,272.5,0.505,5.02,35.40,34.94,NO
pedestrian,damaged_edge,dawn,hazy,kolkata_old,11.88,0.796,12.40,614.9,609.9,55.7,73.4,0.289,4.36,40.90,48.67,YES
pedestrian,damaged_edge,evening_rush,hazy,mumbai_suburban,10.54,0.779,7.30,1019.1,298.3,61.7,84.8,0.413,4.55,41.20,47.30,YES
motorcycle,pothole_light,evening_rush,hazy,bangalore_tech,12.72,0.769,31.40,100.6,254.7,73.6,64.4,0.268,4.35,48.70,38.19,NO
bus,flooded,night,clear,delhi_inner,27.84,0.742,25.00,549.3,262.9,244.3,209.6,0.201,5.57,72.90,37.81,NO
pedestrian,construction,dawn,clear,hyderabad_highway,5.05,0.763,5.00,261.4,274.7,62.1,79.7,0.351,6.14,83.30,51.66,YES
truck,flooded,morning_rush,dusty,delhi_inner,19.86,0.740,7.60,367.0,223.2,199.8,263.7,0.236,4.20,32.60,37.50,NO
truck,pothole_heavy,dawn,hazy,rural_highway,27.46,0.824,33.80,703.8,442.5,187.9,216.1,0.508,8.06,47.10,40.39,NO
motorcycle,damaged_edge,morning_rush,hazy,rural_highway,9.51,0.752,16.80,32.9,420.5,73.5,74.9,0.351,4.04,38.90,36.94,NO
motorcycle,pothole_heavy,night,clear,bangalore_tech,13.07,0.701,49.60,704.3,358.5,94.0,112.0,0.302,9.58,85.90,44.46,YES
motorcycle,pothole_light,afternoon,clear,hyderabad_highway,10.16,0.781,35.50,339.0,616.0,83.8,82.4,0.029,4.18,73.90,32.07,NO
pedestrian,pothole_heavy,morning_rush,rainy,kolkata_old,1.00,0.771,4.70,814.9,370.9,62.9,59.3,0.307,8.67,33.60,80.13,YES
car,damaged_edge,evening_rush,hazy,hyderabad_highway,8.61,0.976,18.10,160.0,259.5,149.8,163.7,0.408,4.70,39.10,36.25,NO
car,damaged_edge,evening_rush,hazy,bangalore_tech,13.88,0.921,16.10,805.9,295.4,184.7,171.7,0.297,5.24,54.00,41.46,YES
car,pothole_heavy,afternoon,clear,hyderabad_highway,18.86,0.787,25.20,703.9,274.8,189.8,206.9,0.465,6.93,79.60,35.98,NO
car,pothole_light,morning_rush,rainy,bangalore_tech,17.72,0.907,30.00,1088.0,349.9,159.7,219.5,0.400,2.59,39.80,25.75,NO
dog,smooth,evening_rush,clear,rural_highway,8.04,0.695,6.20,1090.8,320.1,82.9,108.1,0.355,0.02,75.90,33.33,NO
pedestrian,pothole_light,dawn,clear,bangalore_tech,3.30,0.801,1.20,348.9,434.3,48.3,66.0,0.280,4.68,77.80,49.73,YES
autorickshaw,pothole_heavy,afternoon,hazy,bangalore_tech,17.17,0.859,26.60,30.4,405.3,166.1,213.2,0.327,5.67,51.10,34.58,NO
car,pothole_light,morning_rush,clear,hyderabad_highway,11.06,0.847,24.10,742.3,488.2,147.3,149.2,0.389,3.40,72.90,28.96,NO
autorickshaw,damaged_edge,evening_rush,clear,hyderabad_highway,14.11,0.668,11.80,687.0,440.8,140.5,180.9,0.133,7.21,76.50,42.56,YES
autorickshaw,pothole_heavy,morning_rush,rainy,kolkata_old,12.81,0.665,13.90,32.0,275.2,114.1,154.4,0.198,8.58,32.50,53.33,YES
car,pothole_heavy,night,rainy,delhi_inner,14.87,0.787,32.30,137.9,235.6,155.7,213.1,0.088,9.85,24.90,63.97,YES
autorickshaw,pothole_light,night,foggy,bangalore_tech,16.74,0.519,30.90,682.9,408.5,112.1,135.6,0.353,3.24,22.60,41.21,NO
motorcycle,construction,evening_rush,hazy,rural_highway,6.53,0.820,20.70,1090.4,287.9,84.2,78.0,0.129,6.45,45.90,43.99,YES
truck,damaged_edge,afternoon,clear,hyderabad_highway,16.71,0.852,44.30,946.8,227.7,235.6,194.1,0.154,6.16,72.40,36.87,NO
pedestrian,damaged_edge,night,clear,hyderabad_highway,7.70,0.677,3.50,182.4,438.6,75.8,67.4,0.252,5.75,84.80,46.15,YES
car,pothole_light,evening_rush,dusty,delhi_inner,12.42,0.853,17.90,414.8,279.2,201.3,277.7,0.109,3.89,28.70,46.65,YES
motorcycle,smooth,night,rainy,bangalore_tech,21.80,0.595,43.20,52.5,539.8,65.5,70.6,0.242,0.00,33.90,33.40,NO
pedestrian,pothole_heavy,evening_rush,rainy,kolkata_old,11.49,0.723,5.10,569.2,335.8,67.0,87.9,0.182,9.39,30.60,66.38,YES
autorickshaw,damaged_edge,night,clear,hyderabad_highway,11.73,0.580,25.50,869.2,576.0,125.9,135.8,0.173,8.01,77.70,46.10,YES
dog,construction,evening_rush,hazy,delhi_inner,1.00,0.613,4.30,963.6,539.8,60.2,72.0,0.333,5.11,39.50,65.80,YES
pedestrian,damaged_edge,evening_rush,clear,rural_highway,2.58,0.864,2.10,615.3,227.8,46.8,38.1,0.077,6.68,81.60,54.46,YES
car,flooded,dawn,rainy,kolkata_old,10.73,0.863,30.30,106.5,382.8,169.4,160.9,0.283,5.44,25.60,41.41,YES
car,damaged_edge,evening_rush,dusty,delhi_inner,14.02,0.831,13.70,419.3,384.7,180.6,191.7,0.069,4.60,41.00,40.53,NO
pedestrian,pothole_heavy,evening_rush,dusty,mumbai_suburban,14.04,0.725,3.80,1156.7,529.6,39.1,46.0,0.512,8.32,41.20,53.21,YES
car,construction,morning_rush,hazy,mumbai_suburban,20.02,0.863,29.10,256.1,384.9,164.6,148.6,0.181,5.55,53.20,38.29,NO
truck,pothole_heavy,evening_rush,hazy,kolkata_old,21.09,0.944,11.70,336.6,313.1,227.2,286.0,0.188,7.96,46.40,50.28,YES
bicycle,smooth,evening_rush,dusty,delhi_inner,10.09,0.789,4.00,896.6,361.6,79.4,80.9,0.487,0.00,33.00,25.63,NO
truck,pothole_heavy,morning_rush,rainy,delhi_inner,21.88,0.812,14.70,779.7,265.1,217.2,280.3,0.091,8.57,28.50,51.86,YES
motorcycle,pothole_heavy,morning_rush,clear,hyderabad_highway,9.04,0.873,26.50,1075.9,610.3,100.5,86.3,0.116,10.00,78.10,48.67,YES
pedestrian,pothole_light,evening_rush,hazy,delhi_inner,15.18,0.825,6.40,478.9,347.5,46.1,55.7,0.564,3.23,46.20,39.96,NO
autorickshaw,pothole_light,night,clear,mumbai_suburban,11.50,0.697,19.10,599.3,225.8,115.5,112.7,0.249,3.80,82.20,37.49,NO
truck,smooth,evening_rush,hazy,bangalore_tech,21.10,0.890,21.30,490.8,237.9,229.9,293.6,0.138,0.00,51.20,20.95,NO
bicycle,smooth,morning_rush,hazy,bangalore_tech,4.73,0.717,5.80,1124.4,585.1,68.0,70.8,0.113,1.18,45.10,30.68,NO
motorcycle,pothole_heavy,evening_rush,rainy,hyderabad_highway,8.17,0.642,25.30,922.2,447.9,81.3,97.5,0.150,8.49,23.00,59.86,YES
bus,pothole_heavy,morning_rush,hazy,bangalore_tech,28.98,0.913,17.80,887.8,380.1,212.2,288.7,0.244,9.10,43.00,49.60,YES
bicycle,smooth,evening_rush,clear,hyderabad_highway,7.26,0.824,6.20,161.0,574.4,70.3,57.1,0.032,0.00,87.80,20.96,NO
car,pothole_light,morning_rush,hazy,kolkata_old,12.04,0.813,18.50,892.7,526.7,152.6,123.1,0.290,4.52,37.20,41.53,YES
car,damaged_edge,morning_rush,foggy,delhi_inner,18.11,0.837,14.50,484.2,374.0,161.7,204.1,0.301,0.96,23.70,35.81,NO
car,damaged_edge,morning_rush,rainy,delhi_inner,8.50,0.915,16.80,26.1,258.4,160.0,190.0,0.175,5.80,28.00,43.11,YES
car,flooded,afternoon,clear,bangalore_tech,18.72,0.880,33.50,67.0,253.3,164.4,160.4,0.421,4.54,75.60,26.16,NO
